(schema,table,column,data_type,format,nullable,updatable,default_value,is_primary_key,comment,row_count,rls_enabled,foreign_keys)
auth,identities,user_id,uuid,uuid,NO,YES,NULL,FALSE,,3,TRUE,
auth,identities,identity_data,jsonb,jsonb,NO,YES,NULL,FALSE,,3,TRUE,
auth,identities,provider,text,text,NO,YES,NULL,FALSE,,3,TRUE,
auth,identities,last_sign_in_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,identities,created_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,identities,updated_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,identities,email,text,text,YES,YES,lower((identity_data ->> 'email'::text)),FALSE,"Auth: Email is a generated column that references the optional email property in the identity_data",3,TRUE,
auth,identities,id,uuid,uuid,NO,YES,gen_random_uuid(),TRUE,,3,TRUE,
auth,sessions,id,uuid,uuid,NO,YES,NULL,TRUE,,0,TRUE,
auth,sessions,user_id,uuid,uuid,NO,YES,NULL,FALSE,,0,TRUE,
auth,sessions,created_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,updated_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,factor_id,uuid,uuid,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,aal,USER-DEFINED,aal_level,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,not_after,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,"Auth: Not after is a nullable column that contains a timestamp after which the session should be regarded as expired.",0,TRUE,
auth,sessions,refreshed_at,timestamp without time zone,timestamp,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,user_agent,text,text,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,ip,inet,inet,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,tag,text,text,YES,YES,NULL,FALSE,,0,TRUE,
auth,sessions,oauth_client_id,uuid,uuid,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,id,uuid,uuid,NO,YES,NULL,TRUE,,0,TRUE,
auth,mfa_factors,user_id,uuid,uuid,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,friendly_name,text,text,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,factor_type,USER-DEFINED,factor_type,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,status,USER-DEFINED,factor_status,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,created_at,timestamp with time zone,timestamptz,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,updated_at,timestamp with time zone,timestamptz,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,secret,text,text,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,phone,text,text,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,last_challenged_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,web_authn_credential,jsonb,jsonb,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_factors,web_authn_aaguid,uuid,uuid,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_challenges,id,uuid,uuid,NO,YES,NULL,TRUE,,0,TRUE,
auth,mfa_challenges,factor_id,uuid,uuid,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_challenges,created_at,timestamp with time zone,timestamptz,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_challenges,verified_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_challenges,ip_address,inet,inet,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_challenges,otp_code,text,text,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_challenges,web_authn_session_data,jsonb,jsonb,YES,YES,NULL,FALSE,,0,TRUE,
auth,mfa_amr_claims,session_id,uuid,uuid,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_amr_claims,created_at,timestamp with time zone,timestamptz,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_amr_claims,updated_at,timestamp with time zone,timestamptz,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_amr_claims,authentication_method,text,text,NO,YES,NULL,FALSE,,0,TRUE,
auth,mfa_amr_claims,id,uuid,uuid,NO,YES,NULL,TRUE,,0,TRUE,
storage,s3_multipart_uploads,id,text,text,NO,YES,NULL,TRUE,,0,TRUE,
storage,s3_multipart_uploads,in_progress_size,bigint,int8,NO,YES,0,FALSE,,0,TRUE,
storage,s3_multipart_uploads,upload_signature,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads,bucket_id,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads,key,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads,version,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads,owner_id,text,text,YES,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads,created_at,timestamp with time zone,timestamptz,NO,YES,now(),FALSE,,0,TRUE,
storage,s3_multipart_uploads,user_metadata,jsonb,jsonb,YES,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,id,uuid,uuid,NO,YES,gen_random_uuid(),TRUE,,0,TRUE,
storage,s3_multipart_uploads_parts,upload_id,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,size,bigint,int8,NO,YES,0,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,part_number,integer,int4,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,bucket_id,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,key,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,etag,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,owner_id,text,text,YES,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,version,text,text,NO,YES,NULL,FALSE,,0,TRUE,
storage,s3_multipart_uploads_parts,created_at,timestamp with time zone,timestamptz,NO,YES,now(),FALSE,,0,TRUE,
storage,prefixes,bucket_id,text,text,NO,YES,NULL,TRUE,,1,TRUE,
storage,prefixes,name,text,text,NO,YES,NULL,TRUE,,1,TRUE,
storage,prefixes,level,integer,int4,YES,YES,storage.get_level(name),TRUE,,1,TRUE,
storage,prefixes,created_at,timestamp with time zone,timestamptz,YES,YES,now(),FALSE,,1,TRUE,
storage,prefixes,updated_at,timestamp with time zone,timestamptz,YES,YES,now(),FALSE,,1,TRUE,
realtime,schema_migrations,version,bigint,int8,NO,YES,NULL,TRUE,,64,FALSE,
realtime,schema_migrations,inserted_at,timestamp without time zone,timestamp,YES,YES,NULL,FALSE,,64,FALSE,
realtime,subscription,id,bigint,int8,NO,YES,IDENTITY,FALSE,,0,FALSE,
realtime,subscription,subscription_id,uuid,uuid,NO,YES,NULL,FALSE,,0,FALSE,
realtime,subscription,entity,regclass,regclass,NO,YES,NULL,FALSE,,0,FALSE,
realtime,subscription,filters,ARRAY,_user_defined_filter,NO,YES,'{}'::realtime.user_defined_filter[],FALSE,,0,FALSE,
realtime,subscription,claims,jsonb,jsonb,NO,YES,NULL,FALSE,,0,FALSE,
realtime,subscription,claims_role,regrole,regrole,NO,YES,realtime.to_regrole((claims ->> 'role'::text)),FALSE,,0,FALSE,
realtime,subscription,created_at,timestamp without time zone,timestamp,NO,YES,timezone('utc'::text, now()),FALSE,,0,FALSE,
realtime,messages,topic,text,text,NO,YES,NULL,FALSE,,0,TRUE,
realtime,messages,extension,text,text,NO,YES,NULL,FALSE,,0,TRUE,
realtime,messages,payload,jsonb,jsonb,YES,YES,NULL,FALSE,,0,TRUE,
realtime,messages,event,text,text,YES,YES,NULL,FALSE,,0,TRUE,
realtime,messages,private,boolean,bool,YES,YES,false,FALSE,,0,TRUE,
realtime,messages,updated_at,timestamp without time zone,timestamp,NO,YES,now(),FALSE,,0,TRUE,
realtime,messages,inserted_at,timestamp without time zone,timestamp,NO,YES,now(),FALSE,,0,TRUE,
realtime,messages,id,uuid,uuid,NO,YES,gen_random_uuid(),TRUE,,0,TRUE,
realtime,messages_2025_10_12,topic,text,text,NO,YES,NULL,FALSE,,0,FALSE,
realtime,messages_2025_10_12,extension,text,text,NO,YES,NULL,FALSE,,0,FALSE,
realtime,messages_2025_10_12,payload,jsonb,jsonb,YES,YES,NULL,FALSE,,0,FALSE,
realtime,messages_2025_10_12,event,text,text,YES,YES,NULL,FALSE,,0,FALSE,
realtime,messages_2025_10_12,private,boolean,bool,YES,YES,false,FALSE,,0,FALSE,
realtime,messages_2025_10_12,updated_at,timestamp without time zone,timestamp,NO,YES,now(),FALSE,,0,FALSE,
realtime,messages_2025_10_12,inserted_at,timestamp without time zone,timestamp,NO,YES,now(),FALSE,,0,FALSE,
realtime,messages_2025_10_12,id,uuid,uuid,NO,YES,gen_random_uuid(),TRUE,,0,FALSE,
(remainder omitted here for brevity — full CSV continues with every column from all schemas)
